occurred_at_iso,type,severity,title,description,lat,lng,source_name,source_url
2026-09-15T08:08:12.000Z,strike,medium,Fourth MQ-1 Drone Downed in Strait of Hormuz,,,,WANA News Agency,https://news.google.com/rss/articles/CBMickFVX3lxTE5lVENwZnh2X01tdXg5UjkzU3dFLWd0aHVFYTVuUkV1RnhiM3BxQjlkVWIwdXF1NFdBbkEyNkRwd3gxbV9qVUZWckxuR3RqRVZ5SlJDM2pzMGdrRnVVMC0wLWdtbnN4Y0pzUk1BMC1VNmlZUQ?oc=5
2026-09-15T08:10:58.000Z,closure,high,Behind Oman’s Closed Doors: Who Is Testing the Strait of Hormuz?,,,,اسلام تايمز,https://news.google.com/rss/articles/CBMirAFBVV95cUxQek1zQ1JfZUsyamdoTkd3RURjaTVNcmhmaXVMN1VveTJFem9UVFF2bzNDR0dDcmZIZFZWTVVWS0U2akNPZVE2X01rQlFQY2k2R3FrdWZDbG5mdS1QMmNXLVJuTUtkMC1YUTg5VW1GNVY3WjlleUVabkRLcFZkMWpMWDQtNGJ1WmR1OFJ4THRsMXZKT2pvazhpRW51Y1FTWDQwUVc4Uzg3WnFxbEt5?oc=5
2026-09-15T08:16:17.000Z,strike,medium,Iran Downs Second MQ-1 Drone in 24 Hours over Strait of Hormuz,,,,Palestine Chronicle,https://news.google.com/rss/articles/CBMinwFBVV95cUxPa0RMdXE5MlNia19IRUphUjN1WmVieHQyaG5CeU5FQTFuak5GNXVybjBHeHhaaEZ5M0phZUtkWEFjTV9vWUtPNk9YeEh0RGNmLXpoU1BCTURlWHQ4Vnc2d1AxVGdpVUMtOG5zaEI1c2J0YlpRb1Nkb2hGdFJqQXFubEFtLUxfeHEzUUNFMGZzbl93VmlJT3owdExQTnk2LXc?oc=5
2026-09-15T08:40:20.000Z,ship_incident,medium,Hormuz Strait shipping traffic declines amid Middle East tensions,,,,سانا,https://news.google.com/rss/articles/CBMiTEFVX3lxTE96amYwVzNiWEtnS1o1OVdEa0dvMEdDbktvSDVEWUhiSzFRb0U1N29YVnRXWnIzMVNFYVowUThaakNHTnlGTGw0aENtaW0?oc=5
2026-09-15T08:44:02.000Z,negotiation,low,Iran dismisses US talks as Strait of Hormuz crisis deepens,,,,thenationalnews.com,https://news.google.com/rss/articles/CBMipAFBVV95cUxPYm5jc2lEMld4amVLRTNQZ19XMTlwbGRlMkxOTXM1cURTcUNZdmVmaXdVQTdDNnFocUJ0RE81YXMtMjFpc1ZvUzBFeE1qWGt2UmFrSVNUQUpfT0FwaVRGTC1ZRHZVRlZyOVJrU3dFVEswMUdFRklaUWxCM20zTWZaNndQb2JZUHpBWFd6eGJzVGY5aEZJZHIybVBpMVE1Y1VlYUF6Nw?oc=5
2026-09-15T08:49:13.000Z,strike,medium,Iran downs second US drone near Strait of Hormuz in two days,,,,Yeni Safak English,https://news.google.com/rss/articles/CBMikAFBVV95cUxNeXR5NXNiT0UtakwyUkthRlRqYmxUN2EzcWNqWW9DYkNCc00xaEQwa01HMTBTSVFUWmRrUWhuZFI1WEdlZ0dWMldmSlh1d3Y3aGpETzlsaG1tUXk4UC1iSXk2LUd3cllYSlNBaTF1UG93VURwNkVNc0VfZDc0ejBMR3R2X1NhMzVOTlhrX1VhMWI?oc=5
2026-09-15T08:55:00.000Z,strike,medium,Houthis strike Saudi targets anew as talks over Strait of Hormuz stall,,,,Reuters,https://news.google.com/rss/articles/CBMiugFBVV95cUxOYjU2YnlvRExQZkwtRGlRN2ljVC10RTVQRGI4NUhLSEladjEzeGltZlcxWXByODRyZDlyM3pvWGdSYVBIZXctNVZvQ2ZOX09PZ2ZsN0pWU216ZFUwUDRRS0RjQXV2QVpMWkVXRFJiZGRaVVZENkFMN3hmUlBSWWxWVENnWnFYVEFHMGVMeWYyX2V0b09TMU9Bb2M4ZmZDWTU2YVVpYUFFOUJCcmVTeHhtdEVla2hMbGR1UGc?oc=5
2026-09-15T09:03:00.000Z,ship_incident,medium,Iranian body lists 77 vessels for violating Tehran’s Strait of Hormuz protocols,,,,Middle East Monitor,https://news.google.com/rss/articles/CBMivwFBVV95cUxOMEIxVFRlOXNTZ2paMXNoOEJmN3R3WkNIX1RteVdyX1hGY01wRHVzc0k0ZXg5dkxWSEoxVHVTbldVZmV4bzV2SFlEb0xsSWgzdjZvX0lVdVlRZnBwN3RWQTBvdUJVMm5qTktCYVNEaURJRk5IOTBaejhXOXFUYVZFTGc5UGlfdGFCdGJBTjJWaWUxUF9ldG1RdnY5Z1N2a3ptSWRidHNwdmc3cjg3UHlHV09XQzRvSUlUdkdyQkZuRdIBxAFBVV95cUxQSnEzN2xVaExVTFVWVjBwVnNRRkd5ckdsVFFDRzJMeS1ncGZRdGU2T1E4cGllUmswdlBXbVVUTXJ3eG5nVXhWeU5mallDYkc1MTdPbFVieHhqOUc3cWo4U1dNM2ZIeUJ2UlQwelhEZDdMQVlLWHhKWDVlRVNSWlFidkFXc0h6U294MlVlYW5zWjh1eldMam5ZUDRSNlc2aGRoYXRjWUFvQlR0Z0IzUEtZYWdWRS1rS24xcEUzU2E2OXR0VVJO?oc=5
2026-09-15T09:24:00.000Z,ship_incident,medium,UK: Unknown projectile hit ship in Hormuz strait,,,,Breakingthenews.net,https://news.google.com/rss/articles/CBMimAFBVV95cUxNVWxLN2dZeUdSQ1NzVzJoNUFWUWtzQ0FjaW1wWi1KekdpbGNvdG1xSDN4OU9VY2xSVG52Y0FHVkZWemE5bWp4b0ZGVXhPSVhHMWtyZ0JqSzdVV0w5ZFJlSi1rcUJFaVYzYjhRSXJOLTd2V1VkNVV1Q0lKUFNqZWNVQlE4NFFJWjduWF91UWFNaC1jenF3bVo1Nw?oc=5
2026-09-15T09:26:22.000Z,ship_incident,high,Vessel hit by unknown projectile in Strait of Hormuz: UKMTO,,,,news.az,https://news.google.com/rss/articles/CBMihgFBVV95cUxNY244OHdZS3Z2aVJIT3Z2djdYb3pEVEwwWmhNcVpYQmdQNlUxNXN4SV9oN0lFbHdNWjV5SWZOdElKaURPeXhmVWJTYWNVWU9NWGNRODFnYVIxNk9yaWF4RWg0Z0RiUXJDSjk5MWRycWNyM1FBbkhuY3ctTUNmMWhVaEJBYTZWdw?oc=5
